Sex	Age	Place	DivPlace	DIV	DivAge	Time	BostonQualifier	HomeStateOrCountry
M	53	1565	93	M50-54	50-54	198.52	Y	GBR
M	41	2232	313	M40-44	40-44	206.02	N	NJ
M	34	2283	393	M30-34	30-34	206.52	N	NH
M	31	66	19	M30-34	30-34	155.57	Y	WY
F	37	1592	42	F35-39	35-39	198.88	Y	NY
M	33	901	193	M30-34	30-34	186.55	N	NY
M	41	1421	212	M40-44	40-44	196.2	N	MEX
M	37	260	51	M35-39	35-39	169.98	Y	GBR
M	35	924	163	M35-39	35-39	187.07	N	NJ
F	42	1846	41	F40-44	40-44	201.93	Y	NY
M	35	537	106	M35-39	35-39	178.53	Y	GBR
M	23	532	19	M20-24	20-24	178.48	Y	VA
M	29	984	159	M25-29	25-29	188.33	N	CT
F	30	2083	83	F30-34	30-34	204.58	Y	OH
M	36	2293	366	M35-39	35-39	206.62	N	CT
F	36	539	15	F35-39	35-39	178.57	Y	NY
M	32	1884	347	M30-34	30-34	202.3	N	IL
M	31	1498	291	M30-34	30-34	197.43	N	DEU
M	37	2100	342	M35-39	35-39	204.72	N	FL
M	45	1423	133	M45-49	45-49	196.23	Y	CO
M	49	1467	135	M45-49	45-49	197.05	Y	TX
M	45	2057	194	M45-49	45-49	204.38	N	ESP
M	57	513	6	M55-59	55-59	177.97	Y	GA
M	47	967	82	M45-49	45-49	188.02	Y	NY

